year,state_abbr,state,stratification_category,stratification,obesity_pct,no_leisure_activity_pct,low_fruit_consumption_pct
2019,ME,Maine,Income,"$35,000 - $49,999",35.1,28.9,35.5
2019,ME,Maine,Income,"$50,000 - $74,999",33.4,26.4,32.7
2019,ME,Maine,Income,"$75,000 or greater",29.0,17.5,29.3
2019,ME,Maine,Income,Data not reported,29.1,38.5,36.0
2019,ME,Maine,Income,"Less than $15,000",36.1,42.4,44.8
2019,ME,Maine,Race/Ethnicity,Hispanic,31.9,32.1,39.1
2019,ME,Maine,Race/Ethnicity,NH American Indian/Alaska Native,32.2,28.4,39.2
2019,ME,Maine,Race/Ethnicity,Non-Hispanic 2 or more races,43.0,35.2,29.4
2019,ME,Maine,Race/Ethnicity,Non-Hispanic Black,22.6,55.7,56.9
2019,ME,Maine,Race/Ethnicity,Non-Hispanic White,31.7,29.6,34.9
2019,ME,Maine,Sex,Female,30.5,30.0,31.6
2019,ME,Maine,Sex,Male,32.9,30.2,39.1
2019,ME,Maine,Total,Total,31.7,30.1,35.2
2019,MI,Michigan,Age (years),18 - 24,20.0,18.9,45.5
2019,MI,Michigan,Age (years),25 - 34,33.9,20.8,47.5
2019,MI,Michigan,Age (years),35 - 44,37.3,21.2,40.3
2019,MI,Michigan,Age (years),45 - 54,43.6,26.5,43.2
2019,MI,Michigan,Age (years),55 - 64,43.1,29.8,37.1
2019,MI,Michigan,Age (years),65 or older,34.4,30.7,32.2
2019,MI,Michigan,Education,College graduate,30.4,14.2,31.8
2019,MI,Michigan,Education,High school graduate,38.1,32.9,44.3
2019,MI,Michigan,Education,Less than high school,39.6,39.2,48.7
2019,MI,Michigan,Education,Some college or technical school,37.3,23.9,40.7
2019,MI,Michigan,Income,"$15,000 - $24,999",43.5,33.5,45.4
2019,MI,Michigan,Income,"$25,000 - $34,999",37.8,31.3,41.3
2019,MI,Michigan,Income,"$35,000 - $49,999",35.0,27.8,41.7
2019,MI,Michigan,Income,"$50,000 - $74,999",36.9,22.6,39.8
2019,MI,Michigan,Income,"$75,000 or greater",32.3,14.7,35.4
2019,MI,Michigan,Income,Data not reported,32.4,28.5,39.5
2019,MI,Michigan,Income,"Less than $15,000",43.4,43.2,48.8
2019,MI,Michigan,Race/Ethnicity,Hispanic,46.1,21.5,46.2
2019,MI,Michigan,Race/Ethnicity,NH American Indian/Alaska Native,38.2,31.8,35.7
2019,MI,Michigan,Race/Ethnicity,Non-Hispanic 2 or more races,40.0,30.1,41.7
2019,MI,Michigan,Race/Ethnicity,Non-Hispanic Asian,9.7,22.9,41.0
2019,MI,Michigan,Race/Ethnicity,Non-Hispanic Black,43.8,34.4,41.0
2019,MI,Michigan,Race/Ethnicity,Non-Hispanic Other,24.0,19.9,43.8
2019,MI,Michigan,Race/Ethnicity,Non-Hispanic White,35.0,23.8,39.6
2019,MI,Michigan,Sex,Female,37.1,25.9,36.5
2019,MI,Michigan,Sex,Male,34.8,24.9,43.9
2019,MI,Michigan,Total,Total,36.0,25.4,40.1
2019,MN,Minnesota,Age (years),18 - 24,19.5,16.8,40.6
2019,MN,Minnesota,Age (years),25 - 34,26.8,17.8,41.1
2019,MN,Minnesota,Age (years),35 - 44,31.9,19.6,38.0
2019,MN,Minnesota,Age (years),45 - 54,34.7,19.7,36.7
2019,MN,Minnesota,Age (years),55 - 64,35.6,19.8,33.9
2019,MN,Minnesota,Age (years),65 or older,29.7,23.7,25.4
2019,MN,Minnesota,Education,College graduate,24.4,10.2,27.4
2019,MN,Minnesota,Education,High school graduate,32.2,28.1,42.1
2019,MN,Minnesota,Education,Less than high school,31.6,35.4,38.6
2019,MN,Minnesota,Education,Some college or technical school,33.8,19.6,36.9
2019,MN,Minnesota,Income,"$15,000 - $24,999",34.8,30.1,39.4
2019,MN,Minnesota,Income,"$25,000 - $34,999",32.3,27.6,40.8
2019,MN,Minnesota,Income,"$35,000 - $49,999",33.0,21.8,34.9
2019,MN,Minnesota,Income,"$50,000 - $74,999",34.1,19.0,37.9
2019,MN,Minnesota,Income,"$75,000 or greater",26.8,13.0,30.8
2019,MN,Minnesota,Income,Data not reported,27.5,23.3,36.6
2019,MN,Minnesota,Income,"Less than $15,000",34.5,29.6,42.0
2019,MN,Minnesota,Race/Ethnicity,Hispanic,32.0,29.9,37.1
2019,MN,Minnesota,Race/Ethnicity,NH American Indian/Alaska Native,48.2,27.3,39.9
2019,MN,Minnesota,Race/Ethnicity,Non-Hispanic 2 or more races,29.6,20.1,33.7
2019,MN,Minnesota,Race/Ethnicity,Non-Hispanic Asian,21.5,23.5,42.0
2019,MN,Minnesota,Race/Ethnicity,Non-Hispanic Black,33.7,27.1,41.2
2019,MN,Minnesota,Race/Ethnicity,Non-Hispanic Other,25.1,21.6,38.4
2019,MN,Minnesota,Race/Ethnicity,Non-Hispanic White,30.1,18.6,34.3
2019,MN,Minnesota,Sex,Female,29.1,19.0,31.0
2019,MN,Minnesota,Sex,Male,31.1,20.8,39.4
2019,MN,Minnesota,Total,Total,30.1,19.9,35.2
2019,MO,Missouri,Age (years),18 - 24,22.9,25.7,46.0
2019,MO,Missouri,Age (years),25 - 34,33.9,23.5,42.8
2019,MO,Missouri,Age (years),35 - 44,34.3,25.0,41.9
2019,MO,Missouri,Age (years),45 - 54,46.6,34.0,46.2
2019,MO,Missouri,Age (years),55 - 64,37.7,34.1,46.1
2019,MO,Missouri,Age (years),65 or older,31.9,37.2,34.2
2019,MO,Missouri,Education,College graduate,28.5,18.3,33.9
2019,MO,Missouri,Education,High school graduate,36.4,36.7,44.6
2019,MO,Missouri,Education,Less than high school,41.8,44.6,50.2
2019,MO,Missouri,Education,Some college or technical school,36.1,29.9,44.1
2019,MO,Missouri,Income,"$15,000 - $24,999",37.7,42.1,47.7
2019,MO,Missouri,Income,"$25,000 - $34,999",35.9,33.3,41.4
2019,MO,Missouri,Income,"$35,000 - $49,999",37.2,31.4,43.0
2019,MO,Missouri,Income,"$50,000 - $74,999",35.5,31.0,41.8
2019,MO,Missouri,Income,"$75,000 or greater",34.2,18.4,38.4
2019,MO,Missouri,Income,Data not reported,28.8,35.7,41.4
2019,MO,Missouri,Income,"Less than $15,000",37.5,37.3,49.0
2019,MO,Missouri,Race/Ethnicity,Hispanic,39.6,29.9,43.7
2019,MO,Missouri,Race/Ethnicity,NH American Indian/Alaska Native,40.7,26.6,28.8
2019,MO,Missouri,Race/Ethnicity,Non-Hispanic 2 or more races,48.4,36.1,41.2
2019,MO,Missouri,Race/Ethnicity,Non-Hispanic Black,39.9,33.2,39.7
2019,MO,Missouri,Race/Ethnicity,Non-Hispanic White,34.0,30.1,43.0
2019,MO,Missouri,Sex,Female,34.6,31.6,39.3
2019,MO,Missouri,Sex,Male,34.9,29.4,45.3
2019,MO,Missouri,Total,Total,34.8,30.6,42.2
2019,MS,Mississippi,Age (years),18 - 24,27.8,25.9,44.4
2019,MS,Mississippi,Age (years),25 - 34,37.2,31.1,48.7
2019,MS,Mississippi,Age (years),35 - 44,46.9,33.3,44.1
2019,MS,Mississippi,Age (years),45 - 54,50.1,40.0,52.7
2019,MS,Mississippi,Age (years),55 - 64,45.9,44.8,54.3
2019,MS,Mississippi,Age (years),65 or older,36.4,46.0,41.9
2019,MS,Mississippi,Education,College graduate,36.1,24.6,44.1
2019,MS,Mississippi,Education,High school graduate,42.5,42.9,51.1
2019,MS,Mississippi,Education,Less than high school,43.1,52.3,52.8
2019,MS,Mississippi,Education,Some college or technical school,41.2,34.3,44.1
2019,MS,Mississippi,Income,"$15,000 - $24,999",43.1,45.8,46.7
2019,MS,Mississippi,Income,"$25,000 - $34,999",48.2,38.2,46.4
2019,MS,Mississippi,Income,"$35,000 - $49,999",43.9,34.2,50.5
2019,MS,Mississippi,Income,"$50,000 - $74,999",39.4,25.8,40.3
2019,MS,Mississippi,Income,"$75,000 or greater",37.2,23.0,48.2
2019,MS,Mississippi,Income,Data not reported,35.7,44.8,48.2
2019,MS,Mississippi,Income,"Less than $15,000",42.8,54.3,51.9
2019,MS,Mississippi,Race/Ethnicity,Non-Hispanic Black,46.4,42.5,45.4
2019,MS,Mississippi,Race/Ethnicity,Non-Hispanic White,37.8,36.3,50.2
2019,MS,Mississippi,Sex,Female,44.9,40.1,47.3
2019,MS,Mississippi,Sex,Male,36.7,35.1,47.7
2019,MS,Mississippi,Total,Total,40.8,37.7,47.5
2019,MT,Montana,Age (years),18 - 24,17.3,14.7,43.7
2019,MT,Montana,Age (years),25 - 34,23.9,12.8,46.6
2019,MT,Montana,Age (years),35 - 44,29.4,15.8,39.3
2019,MT,Montana,Age (years),45 - 54,33.7,21.1,44.1
2019,MT,Montana,Age (years),55 - 64,33.2,21.5,41.3
2019,MT,Montana,Age (years),65 or older,29.5,26.7,34.7
2019,MT,Montana,Education,College graduate,22.5,12.2,33.0
2019,MT,Montana,Education,High school graduate,30.8,22.7,45.4
2019,MT,Montana,Education,Less than high school,33.8,37.3,45.9
2019,MT,Montana,Education,Some college or technical school,29.8,19.2,42.2
2019,MT,Montana,Income,"$15,000 - $24,999",32.1,26.6,43.0
2019,MT,Montana,Income,"$25,000 - $34,999",30.9,21.1,42.4
2019,MT,Montana,Income,"$35,000 - $49,999",31.1,20.7,42.1
2019,MT,Montana,Income,"$50,000 - $74,999",30.7,18.0,42.3
2019,MT,Montana,Income,"$75,000 or greater",23.0,11.9,35.1
2019,MT,Montana,Income,Data not reported,23.4,23.1,41.1
2019,MT,Montana,Income,"Less than $15,000",35.4,26.9,49.5
2019,MT,Montana,Race/Ethnicity,Hispanic,31.6,20.3,43.9
2019,MT,Montana,Race/Ethnicity,NH American Indian/Alaska Native,40.8,23.2,46.7
2019,MT,Montana,Race/Ethnicity,Non-Hispanic 2 or more races,34.3,20.0,40.0
2019,MT,Montana,Race/Ethnicity,Non-Hispanic White,27.5,19.3,40.7
2019,MT,Montana,Sex,Female,29.5,20.0,37.0
2019,MT,Montana,Sex,Male,27.3,19.3,44.8
2019,MT,Montana,Total,Total,28.3,19.7,40.9
2019,NC,North Carolina,Age (years),18 - 24,22.9,20.3,40.9
2019,NC,North Carolina,Age (years),25 - 34,30.5,22.1,39.4
2019,NC,North Carolina,Age (years),35 - 44,37.4,24.0,35.5
2019,NC,North Carolina,Age (years),45 - 54,42.2,31.0,38.6
2019,NC,North Carolina,Age (years),55 - 64,37.7,30.1,41.0
2019,NC,North Carolina,Age (years),65 or older,31.6,28.3,34.9
2019,NC,North Carolina,Education,College graduate,27.5,13.4,30.4
2019,NC,North Carolina,Education,High school graduate,37.0,32.8,46.2
2019,NC,North Carolina,Education,Less than high school,37.0,45.9,41.0
2019,NC,North Carolina,Education,Some college or technical school,35.8,24.3,37.4
2019,NC,North Carolina,Income,"$15,000 - $24,999",35.0,37.8,41.0
2019,NC,North Carolina,Income,"$25,000 - $34,999",35.5,32.8,41.2
2019,NC,North Carolina,Income,"$35,000 - $49,999",38.8,25.9,39.2
2019,NC,North Carolina,Income,"$50,000 - $74,999",37.6,19.7,38.7
2019,NC,North Carolina,Income,"$75,000 or greater",30.3,13.6,33.8
2019,NC,North Carolina,Income,Data not reported,29.6,31.6,38.2
2019,NC,North Carolina,Income,"Less than $15,000",44.0,41.6,43.5
2019,NC,North Carolina,Race/Ethnicity,Hispanic,31.4,40.9,28.5
2019,NC,North Carolina,Race/Ethnicity,NH American Indian/Alaska Native,35.0,39.9,48.5
2019,NC,North Carolina,Race/Ethnicity,Non-Hispanic 2 or more races,48.7,18.4,32.5
2019,NC,North Carolina,Race/Ethnicity,Non-Hispanic Asian,18.2,15.0,50.7
2019,NC,North Carolina,Race/Ethnicity,Non-Hispanic Black,47.7,26.7,39.1
2019,NC,North Carolina,Race/Ethnicity,Non-Hispanic White,30.0,24.6,39.0
2019,NC,North Carolina,Sex,Female,37.4,27.7,36.2
2019,NC,North Carolina,Sex,Male,30.6,24.8,40.3
2019,NC,North Carolina,Total,Total,34.0,26.3,38.1
2019,ND,North Dakota,Age (years),18 - 24,16.7,23.6,46.8
2019,ND,North Dakota,Age (years),25 - 34,32.9,23.7,43.2
2019,ND,North Dakota,Age (years),35 - 44,46.5,26.6,46.3
2019,ND,North Dakota,Age (years),45 - 54,42.1,31.4,44.5
2019,ND,North Dakota,Age (years),55 - 64,37.4,31.2,38.2
2019,ND,North Dakota,Age (years),65 or older,33.4,31.6,29.0
2019,ND,North Dakota,Education,College graduate,31.9,17.1,32.9
2019,ND,North Dakota,Education,High school graduate,33.9,35.0,41.5
2019,ND,North Dakota,Education,Less than high school,35.8,41.8,40.6
2019,ND,North Dakota,Education,Some college or technical school,37.1,27.7,45.3
2019,ND,North Dakota,Income,"$15,000 - $24,999",31.1,38.7,40.6
2019,ND,North Dakota,Income,"$25,000 - $34,999",34.8,39.3,44.6
2019,ND,North Dakota,Income,"$35,000 - $49,999",34.1,29.0,42.3
2019,ND,North Dakota,Income,"$50,000 - $74,999",37.9,24.6,40.6
2019,ND,North Dakota,Income,"$75,000 or greater",38.0,19.2,41.0
2019,ND,North Dakota,Income,Data not reported,23.9,38.0,36.7
2019,ND,North Dakota,Income,"Less than $15,000",35.2,39.1,36.0
2019,ND,North Dakota,Race/Ethnicity,Hispanic,38.5,30.6,37.2
2019,ND,North Dakota,Race/Ethnicity,NH American Indian/Alaska Native,57.8,49.5,50.6
2019,ND,North Dakota,Race/Ethnicity,Non-Hispanic 2 or more races,25.9,25.6,29.3
2019,ND,North Dakota,Race/Ethnicity,Non-Hispanic White,34.6,26.8,40.1
2019,ND,North Dakota,Sex,Female,33.1,28.3,36.2
2019,ND,North Dakota,Sex,Male,36.3,27.8,44.8
2019,ND,North Dakota,Total,Total,34.8,28.0,40.6
2019,NE,Nebraska,Age (years),18 - 24,19.6,17.1,41.1
2019,NE,Nebraska,Age (years),25 - 34,30.6,23.7,42.3
2019,NE,Nebraska,Age (years),35 - 44,39.3,27.2,41.3
2019,NE,Nebraska,Age (years),45 - 54,38.5,27.4,42.2
2019,NE,Nebraska,Age (years),55 - 64,40.4,30.2,40.2
2019,NE,Nebraska,Age (years),65 or older,34.0,32.4,32.4
2019,NE,Nebraska,Education,College graduate,28.9,14.3,33.3
2019,NE,Nebraska,Education,High school graduate,36.6,34.3,43.8
2019,NE,Nebraska,Education,Less than high school,35.4,48.9,40.7
2019,NE,Nebraska,Education,Some college or technical school,36.2,25.6,40.9
2019,NE,Nebraska,Income,"$15,000 - $24,999",35.9,38.3,42.8
2019,NE,Nebraska,Income,"$25,000 - $34,999",37.6,34.3,41.0
2019,NE,Nebraska,Income,"$35,000 - $49,999",34.2,27.6,40.8
2019,NE,Nebraska,Income,"$50,000 - $74,999",36.8,21.6,38.4
2019,NE,Nebraska,Income,"$75,000 or greater",32.6,15.9,36.6
2019,NE,Nebraska,Income,Data not reported,28.3,35.2,40.6
2019,NE,Nebraska,Income,"Less than $15,000",35.7,43.9,43.0
2019,NE,Nebraska,Race/Ethnicity,Hispanic,36.5,44.1,36.0
2019,NE,Nebraska,Race/Ethnicity,NH American Indian/Alaska Native,49.9,40.7,44.8
2019,NE,Nebraska,Race/Ethnicity,Non-Hispanic 2 or more races,27.2,19.7,46.6
2019,NE,Nebraska,Race/Ethnicity,Non-Hispanic Asian,9.9,32.4,39.2
2019,NE,Nebraska,Race/Ethnicity,Non-Hispanic Black,40.3,32.5,37.6
2019,NE,Nebraska,Race/Ethnicity,Non-Hispanic White,33.9,24.4,39.9
2019,NE,Nebraska,Sex,Female,34.7,27.3,35.1
2019,NE,Nebraska,Sex,Male,33.6,26.5,44.0
2019,NE,Nebraska,Total,Total,34.1,26.9,39.5
2019,NH,New Hampshire,Age (years),18 - 24,23.5,11.9,41.3
2019,NH,New Hampshire,Age (years),25 - 34,32.3,21.8,42.0
2019,NH,New Hampshire,Age (years),35 - 44,37.6,21.0,40.5
2019,NH,New Hampshire,Age (years),45 - 54,34.6,20.9,36.4
2019,NH,New Hampshire,Age (years),55 - 64,33.5,22.9,34.0
2019,NH,New Hampshire,Age (years),65 or older,28.0,25.7,27.3
2019,NH,New Hampshire,Education,College graduate,25.0,11.4,28.9
2019,NH,New Hampshire,Education,High school graduate,36.8,33.1,42.1
2019,NH,New Hampshire,Education,Less than high school,37.8,34.0,48.1
2019,NH,New Hampshire,Education,Some college or technical school,33.0,20.0,34.2
2019,NH,New Hampshire,Income,"$15,000 - $24,999",35.6,41.0,38.4
2019,NH,New Hampshire,Income,"$25,000 - $34,999",34.4,35.0,40.9
2019,NH,New Hampshire,Income,"$35,000 - $49,999",33.2,23.3,36.9
2019,NH,New Hampshire,Income,"$50,000 - $74,999",34.2,18.9,33.7
2019,NH,New Hampshire,Income,"$75,000 or greater",28.7,12.9,34.0
2019,NH,New Hampshire,Income,Data not reported,29.8,21.5,34.1
2019,NH,New Hampshire,Income,"Less than $15,000",41.3,44.2,46.6
2019,NH,New Hampshire,Race/Ethnicity,Non-Hispanic Other,38.3,22.0,39.1
2019,NH,New Hampshire,Race/Ethnicity,Non-Hispanic White,32.3,21.0,35.1
2019,NH,New Hampshire,Sex,Female,30.5,23.9,33.5
2019,NH,New Hampshire,Sex,Male,32.9,19.4,38.0
2019,NH,New Hampshire,Total,Total,31.8,21.7,35.7
2019,NM,New Mexico,Age (years),18 - 24,22.5,19.9,50.9
2019,NM,New Mexico,Age (years),25 - 34,38.1,22.2,45.3
2019,NM,New Mexico,Age (years),35 - 44,32.9,23.0,41.4
2019,NM,New Mexico,Age (years),45 - 54,39.7,29.1,44.3
2019,NM,New Mexico,Age (years),55 - 64,33.5,25.2,41.9
2019,NM,New Mexico,Age (years),65 or older,24.9,29.8,38.5
2019,NM,New Mexico,Education,College graduate,25.3,12.8,36.5
2019,NM,New Mexico,Education,High school graduate,35.4,28.7,46.3
2019,NM,New Mexico,Education,Less than high school,32.6,43.2,40.9
2019,NM,New Mexico,Education,Some college or technical school,33.1,23.4,46.2
2019,NM,New Mexico,Income,"$15,000 - $24,999",36.6,32.8,41.8
2019,NM,New Mexico,Income,"$25,000 - $34,999",30.9,24.8,37.8
2019,NM,New Mexico,Income,"$35,000 - $49,999",28.3,26.0,41.2
2019,NM,New Mexico,Income,"$50,000 - $74,999",31.0,22.1,45.4
2019,NM,New Mexico,Income,"$75,000 or greater",29.9,12.5,42.3
2019,NM,New Mexico,Income,Data not reported,27.6,29.3,47.8
2019,NM,New Mexico,Income,"Less than $15,000",37.1,37.4,46.0
2019,NM,New Mexico,Race/Ethnicity,Hispanic,34.7,29.9,42.2
2019,NM,New Mexico,Race/Ethnicity,NH American Indian/Alaska Native,46.1,23.5,43.4
2019,NM,New Mexico,Race/Ethnicity,Non-Hispanic 2 or more races,25.0,16.0,59.4
2019,NM,New Mexico,Race/Ethnicity,Non-Hispanic Black,40.0,26.2,45.4
2019,NM,New Mexico,Race/Ethnicity,Non-Hispanic White,25.2,21.3,43.0
2019,NM,New Mexico,Sex,Female,32.5,27.0,39.6
2019,NM,New Mexico,Sex,Male,31.0,23.7,46.6
2019,NM,New Mexico,Total,Total,31.7,25.4,43.1
2019,NV,Nevada,Age (years),18 - 24,17.7,27.0,53.8
2019,NV,Nevada,Age (years),25 - 34,29.8,23.3,49.9
2019,NV,Nevada,Age (years),35 - 44,34.8,23.7,41.4
2019,NV,Nevada,Age (years),45 - 54,35.5,25.5,38.4
2019,NV,Nevada,Age (years),55 - 64,33.5,26.4,48.6
2019,NV,Nevada,Age (years),65 or older,28.6,28.8,33.8
2019,NV,Nevada,Education,College graduate,25.5,14.5,37.5
2019,NV,Nevada,Education,High school graduate,33.2,34.6,49.1
2019,NV,Nevada,Education,Less than high school,36.0,38.5,41.8
2019,NV,Nevada,Education,Some college or technical school,29.9,19.9,42.3
2019,NV,Nevada,Income,"$15,000 - $24,999",34.8,35.6,41.3
2019,NV,Nevada,Income,"$25,000 - $34,999",32.5,25.7,50.9
2019,NV,Nevada,Income,"$35,000 - $49,999",35.5,26.0,43.0
2019,NV,Nevada,Income,"$50,000 - $74,999",26.1,21.3,38.2
2019,NV,Nevada,Income,"$75,000 or greater",30.7,15.5,42.2
2019,NV,Nevada,Income,Data not reported,24.0,33.5,45.2
2019,NV,Nevada,Income,"Less than $15,000",39.8,34.8,48.7
2019,NV,Nevada,Race/Ethnicity,Hispanic,34.5,30.9,40.0
2019,NV,Nevada,Race/Ethnicity,Non-Hispanic 2 or more races,29.6,20.9,46.4
2019,NV,Nevada,Race/Ethnicity,Non-Hispanic Asian,20.8,28.7,56.4
2019,NV,Nevada,Race/Ethnicity,Non-Hispanic Black,38.8,21.4,41.3
2019,NV,Nevada,Race/Ethnicity,Non-Hispanic White,28.1,23.5,43.2
2019,NV,Nevada,Sex,Female,29.2,27.2,39.8
2019,NV,Nevada,Sex,Male,31.9,24.4,47.0
2019,NV,Nevada,Total,Total,30.6,25.8,43.4
2019,NY,New York,Age (years),18 - 24,16.6,20.4,38.7
2019,NY,New York,Age (years),25 - 34,23.0,24.1,39.3
2019,NY,New York,Age (years),35 - 44,31.8,29.3,33.8
2019,NY,New York,Age (years),45 - 54,32.9,27.0,35.7
2019,NY,New York,Age (years),55 - 64,32.0,27.0,35.5
2019,NY,New York,Age (years),65 or older,24.5,32.5,27.9
2019,NY,New York,Education,College graduate,20.7,16.4,29.3
2019,NY,New York,Education,High school graduate,31.0,33.9,37.1
2019,NY,New York,Education,Less than high school,31.6,45.6,38.9
2019,NY,New York,Education,Some college or technical school,29.4,25.0,37.8
2019,NY,New York,Income,"$15,000 - $24,999",34.4,35.9,35.7
2019,NY,New York,Income,"$25,000 - $34,999",31.2,34.9,36.8
2019,NY,New York,Income,"$35,000 - $49,999",29.2,30.7,35.2
2019,NY,New York,Income,"$50,000 - $74,999",28.6,23.1,36.2
2019,NY,New York,Income,"$75,000 or greater",24.3,15.4,31.8
2019,NY,New York,Income,Data not reported,21.6,32.9,33.3
2019,NY,New York,Income,"Less than $15,000",32.2,41.3,45.0
2019,NY,New York,Race/Ethnicity,Hispanic,29.4,37.4,38.5
2019,NY,New York,Race/Ethnicity,NH American Indian/Alaska Native,24.2,22.3,26.7
2019,NY,New York,Race/Ethnicity,Non-Hispanic 2 or more races,29.8,24.3,43.5
2019,NY,New York,Race/Ethnicity,Non-Hispanic Asian,12.5,25.1,32.6
2019,NY,New York,Race/Ethnicity,Non-Hispanic Black,36.4,32.9,38.3
2019,NY,New York,Race/Ethnicity,Non-Hispanic Other,30.7,34.3,35.2
2019,NY,New York,Race/Ethnicity,Non-Hispanic White,26.4,22.8,33.2
2019,NY,New York,Sex,Female,27.7,29.4,32.0
2019,NY,New York,Sex,Male,26.5,24.9,37.7
2019,NY,New York,Total,Total,27.1,27.2,34.7
2019,OH,Ohio,Age (years),18 - 24,20.8,16.4,49.6
2019,OH,Ohio,Age (years),25 - 34,34.4,24.5,45.3
2019,OH,Ohio,Age (years),35 - 44,34.7,26.6,42.8
2019,OH,Ohio,Age (years),45 - 54,39.7,30.6,45.8
2019,OH,Ohio,Age (years),55 - 64,42.2,32.2,41.3
2019,OH,Ohio,Age (years),65 or older,33.6,33.7,36.1
2019,OH,Ohio,Education,College graduate,30.3,16.0,33.0
2019,OH,Ohio,Education,High school graduate,36.3,33.1,45.8
2019,OH,Ohio,Education,Less than high school,36.0,50.5,54.0
2019,OH,Ohio,Education,Some college or technical school,36.7,25.8,44.1
2019,OH,Ohio,Income,"$15,000 - $24,999",37.1,38.4,49.5
2019,OH,Ohio,Income,"$25,000 - $34,999",39.2,37.2,42.7
2019,OH,Ohio,Income,"$35,000 - $49,999",39.5,29.8,43.3
2019,OH,Ohio,Income,"$50,000 - $74,999",31.7,25.0,40.0
2019,OH,Ohio,Income,"$75,000 or greater",31.1,15.4,38.3
2019,OH,Ohio,Income,Data not reported,30.8,29.1,38.8
2019,OH,Ohio,Income,"Less than $15,000",43.7,47.1,58.1
2019,OH,Ohio,Race/Ethnicity,Hispanic,39.4,30.5,40.4
2019,OH,Ohio,Race/Ethnicity,NH American Indian/Alaska Native,34.9,42.7,27.2
2019,OH,Ohio,Race/Ethnicity,Non-Hispanic 2 or more races,48.3,22.9,37.8
2019,OH,Ohio,Race/Ethnicity,Non-Hispanic Asian,11.3,11.8,36.9
2019,OH,Ohio,Race/Ethnicity,Non-Hispanic Black,42.4,36.9,47.5
2019,OH,Ohio,Race/Ethnicity,Non-Hispanic White,33.9,27.4,42.6
2019,OH,Ohio,Sex,Female,35.7,30.4,40.4
2019,OH,Ohio,Sex,Male,33.9,26.0,45.2
2019,OH,Ohio,Total,Total,34.8,28.3,42.7
2019,OK,Oklahoma,Age (years),18 - 24,26.6,27.5,50.1
2019,OK,Oklahoma,Age (years),25 - 34,35.1,25.8,47.8
2019,OK,Oklahoma,Age (years),35 - 44,39.9,30.3,50.7
2019,OK,Oklahoma,Age (years),45 - 54,45.3,38.1,52.7
2019,OK,Oklahoma,Age (years),55 - 64,43.1,38.7,52.2
2019,OK,Oklahoma,Age (years),65 or older,31.2,41.1,40.4
2019,OK,Oklahoma,Education,College graduate,33.3,21.5,40.3
2019,OK,Oklahoma,Education,High school graduate,37.2,38.6,52.1
2019,OK,Oklahoma,Education,Less than high school,37.6,51.1,58.4
2019,OK,Oklahoma,Education,Some college or technical school,38.7,31.9,47.4
2019,OK,Oklahoma,Income,"$15,000 - $24,999",41.8,44.1,49.8
2019,OK,Oklahoma,Income,"$25,000 - $34,999",34.9,38.3,50.5
2019,OK,Oklahoma,Income,"$35,000 - $49,999",35.0,31.3,48.0
2019,OK,Oklahoma,Income,"$50,000 - $74,999",40.4,28.6,51.5
2019,OK,Oklahoma,Income,"$75,000 or greater",34.8,23.3,43.7
2019,OK,Oklahoma,Income,Data not reported,31.8,39.3,47.3
2019,OK,Oklahoma,Income,"Less than $15,000",42.4,45.4,56.2
2019,OK,Oklahoma,Race/Ethnicity,Hispanic,41.8,42.2,44.6
2019,OK,Oklahoma,Race/Ethnicity,NH American Indian/Alaska Native,41.9,33.5,55.8
2019,OK,Oklahoma,Race/Ethnicity,Non-Hispanic 2 or more races,41.7,27.9,45.4
2019,OK,Oklahoma,Race/Ethnicity,Non-Hispanic Black,45.2,35.5,49.1
2019,OK,Oklahoma,Race/Ethnicity,Non-Hispanic White,35.2,33.5,49.1
2019,OK,Oklahoma,Sex,Female,37.2,35.6,46.1
2019,OK,Oklahoma,Sex,Male,36.4,32.4,51.0
2019,OK,Oklahoma,Total,Total,36.8,34.0,48.4
2019,OR,Oregon,Age (years),18 - 24,18.3,21.5,47.8
2019,OR,Oregon,Age (years),25 - 34,26.2,20.7,36.8
2019,OR,Oregon,Age (years),35 - 44,30.9,22.5,37.3
2019,OR,Oregon,Age (years),45 - 54,35.5,24.5,36.6
2019,OR,Oregon,Age (years),55 - 64,31.8,24.2,36.8
2019,OR,Oregon,Age (years),65 or older,28.4,27.9,27.4
2019,OR,Oregon,Education,College graduate,23.9,13.8,28.7
2019,OR,Oregon,Education,High school graduate,31.8,30.9,40.9
2019,OR,Oregon,Education,Less than high school,28.5,39.9,41.8
2019,OR,Oregon,Education,Some college or technical school,31.5,23.1,37.0
2019,OR,Oregon,Income,"$15,000 - $24,999",34.4,36.5,39.0
2019,OR,Oregon,Income,"$25,000 - $34,999",29.7,30.9,38.2
2019,OR,Oregon,Income,"$35,000 - $49,999",30.5,22.1,36.2
2019,OR,Oregon,Income,"$50,000 - $74,999",26.3,17.3,32.6
2019,OR,Oregon,Income,"$75,000 or greater",28.4,14.0,31.5
2019,OR,Oregon,Income,Data not reported,26.1,29.5,37.2
2019,OR,Oregon,Income,"Less than $15,000",33.7,31.8,49.7
2019,OR,Oregon,Race/Ethnicity,Hispanic,34.9,36.3,41.0
2019,OR,Oregon,Race/Ethnicity,NH American Indian/Alaska Native,44.4,29.9,41.3
