year,state_abbr,state,stratification_category,stratification,obesity_pct,no_leisure_activity_pct,low_fruit_consumption_pct
2017,CA,California,Income,"$15,000 - $24,999",28.3,25.2,32.6
2017,CA,California,Income,"$25,000 - $34,999",32.3,26.2,33.1
2017,CA,California,Income,"$35,000 - $49,999",25.7,23.4,34.2
2017,CA,California,Income,"$50,000 - $74,999",25.6,18.9,33.3
2017,CA,California,Income,"$75,000 or greater",21.8,11.5,30.5
2017,CA,California,Income,Data not reported,20.4,22.4,32.4
2017,CA,California,Income,"Less than $15,000",30.8,30.7,35.5
2017,CA,California,Race/Ethnicity,Hispanic,31.7,27.0,32.1
2017,CA,California,Race/Ethnicity,NH American Indian/Alaska Native,32.1,24.9,42.6
2017,CA,California,Race/Ethnicity,Non-Hispanic 2 or more races,37.7,10.6,34.9
2017,CA,California,Race/Ethnicity,Non-Hispanic Asian,9.7,14.8,34.0
2017,CA,California,Race/Ethnicity,Non-Hispanic Black,33.7,24.6,39.0
2017,CA,California,Race/Ethnicity,Non-Hispanic Other,28.1,17.0,36.3
2017,CA,California,Race/Ethnicity,Non-Hispanic White,23.8,16.0,31.6
2017,CA,California,Sex,Female,25.8,21.1,29.1
2017,CA,California,Sex,Male,24.5,18.9,36.0
2017,CA,California,Total,Total,25.1,20.0,32.5
2017,CO,Colorado,Age (years),18 - 24,13.1,15.7,39.4
2017,CO,Colorado,Age (years),25 - 34,19.1,18.4,36.1
2017,CO,Colorado,Age (years),35 - 44,25.1,20.0,30.3
2017,CO,Colorado,Age (years),45 - 54,27.7,20.0,31.5
2017,CO,Colorado,Age (years),55 - 64,26.2,18.9,33.8
2017,CO,Colorado,Age (years),65 or older,22.4,22.7,28.7
2017,CO,Colorado,Education,College graduate,17.0,9.8,26.1
2017,CO,Colorado,Education,High school graduate,25.1,27.5,39.9
2017,CO,Colorado,Education,Less than high school,27.7,40.0,36.9
2017,CO,Colorado,Education,Some college or technical school,25.7,18.6,35.0
2017,CO,Colorado,Income,"$15,000 - $24,999",26.0,25.1,37.8
2017,CO,Colorado,Income,"$25,000 - $34,999",25.5,22.0,34.6
2017,CO,Colorado,Income,"$35,000 - $49,999",23.4,21.1,37.2
2017,CO,Colorado,Income,"$50,000 - $74,999",22.0,20.3,29.8
2017,CO,Colorado,Income,"$75,000 or greater",21.5,11.9,28.7
2017,CO,Colorado,Income,Data not reported,19.7,25.9,35.7
2017,CO,Colorado,Income,"Less than $15,000",27.1,30.7,41.6
2017,CO,Colorado,Race/Ethnicity,Hispanic,27.7,27.9,33.4
2017,CO,Colorado,Race/Ethnicity,NH American Indian/Alaska Native,27.6,23.4,26.7
2017,CO,Colorado,Race/Ethnicity,Non-Hispanic 2 or more races,28.5,22.0,39.4
2017,CO,Colorado,Race/Ethnicity,Non-Hispanic Asian,6.6,22.0,36.1
2017,CO,Colorado,Race/Ethnicity,Non-Hispanic Black,29.9,20.2,44.7
2017,CO,Colorado,Race/Ethnicity,Non-Hispanic Other,13.0,13.8,29.0
2017,CO,Colorado,Race/Ethnicity,Non-Hispanic White,21.4,16.8,32.0
2017,CO,Colorado,Sex,Female,23.8,20.6,29.5
2017,CO,Colorado,Sex,Male,21.5,18.2,36.4
2017,CO,Colorado,Total,Total,22.6,19.5,33.0
2017,CT,Connecticut,Age (years),18 - 24,16.2,20.9,36.4
2017,CT,Connecticut,Age (years),25 - 34,27.2,19.6,31.6
2017,CT,Connecticut,Age (years),35 - 44,27.0,25.9,30.7
2017,CT,Connecticut,Age (years),45 - 54,31.5,22.9,32.6
2017,CT,Connecticut,Age (years),55 - 64,30.0,23.9,31.4
2017,CT,Connecticut,Age (years),65 or older,26.4,28.6,28.1
2017,CT,Connecticut,Education,College graduate,20.5,13.7,25.2
2017,CT,Connecticut,Education,High school graduate,31.3,32.5,34.9
2017,CT,Connecticut,Education,Less than high school,33.0,40.4,38.4
2017,CT,Connecticut,Education,Some college or technical school,28.6,23.2,33.9
2017,CT,Connecticut,Income,"$15,000 - $24,999",34.1,36.2,32.6
2017,CT,Connecticut,Income,"$25,000 - $34,999",32.0,33.3,36.6
2017,CT,Connecticut,Income,"$35,000 - $49,999",29.2,27.9,35.4
2017,CT,Connecticut,Income,"$50,000 - $74,999",26.1,25.4,31.8
2017,CT,Connecticut,Income,"$75,000 or greater",24.4,16.1,28.9
2017,CT,Connecticut,Income,Data not reported,21.8,24.7,28.9
2017,CT,Connecticut,Income,"Less than $15,000",38.2,36.2,41.9
2017,CT,Connecticut,Race/Ethnicity,Hispanic,32.0,33.0,31.5
2017,CT,Connecticut,Race/Ethnicity,Non-Hispanic 2 or more races,27.0,19.6,31.5
2017,CT,Connecticut,Race/Ethnicity,Non-Hispanic Asian,10.0,22.2,32.8
2017,CT,Connecticut,Race/Ethnicity,Non-Hispanic Black,35.5,29.8,35.0
2017,CT,Connecticut,Race/Ethnicity,Non-Hispanic Other,27.0,28.7,19.7
2017,CT,Connecticut,Race/Ethnicity,Non-Hispanic White,25.6,21.6,30.7
2017,CT,Connecticut,Sex,Female,24.4,25.5,29.1
2017,CT,Connecticut,Sex,Male,29.3,22.4,34.1
2017,CT,Connecticut,Total,Total,26.9,24.0,31.5
2017,DC,District of Columbia,Age (years),18 - 24,16.0,22.2,34.0
2017,DC,District of Columbia,Age (years),25 - 34,18.3,21.9,35.2
